Card,Avg Location
2H,25.99578029831212
2D,25.99932819973128
2C,25.990776396310558
2S,26.004026101610442
3H,25.99945609978244
3D,25.99713579885432
3C,26.00486220194488
3S,26.0015140006056
4H,25.99858539943416
4D,26.002548901019562
4C,26.00415160166064
4S,26.00064490025796
5H,25.997323898929558
5D,26.0025430010172
5C,25.9989204995682
5S,26.0072210028884
6H,25.99543729817492
6D,26.00537110214844
6C,26.0091260036504
6S,25.998429999372
7H,26.00998830399532
7D,26.00167010066804
7C,25.99396659758664
7S,26.00883390353356
8H,25.9951739980696
8D,25.988878895551558
8C,25.99758079903232
8S,26.00694230277692
9H,26.00490910196364
9D,26.0025855010342
9C,26.00030470012188
9S,25.99802669921068
TH,26.002107000842802
TD,25.99636509854604
TC,25.989935395974157
TS,26.0056710022684
JH,26.00091230036492
JD,25.99485609794244
JC,25.99446729778692
JS,25.99921769968708
QH,25.99744919897968
QD,25.99989589995836
QC,26.00587310234924
QS,25.98859629543852
KH,25.99689189875676
KD,26.005774902309962
KC,26.003758501503402
KS,25.99946759978704
AH,26.00331760132704
AD,26.00232680093072
AC,26.00075780030312
AS,25.99031489612596
